dataset_id,profile,seed,target_fraction,solver,status,counterfactual_verified,protected_workflows_preserved,achieved_exposure_reduction,modeled_cost,changes,departments_affected,runtime_seconds,infeasible_or_timeout
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.95,risk_greedy,FEASIBLE,true,true,0.9067811939141722,7.179656,11,6,0.4755429069998627,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.95,min_cut,FEASIBLE,true,true,0.9774197968562871,13.927669,22,12,3.9349005900000975,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.95,constraint_generation,FEASIBLE,true,true,0.7926913810791055,322.351432,133,12,123.46227891400008,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.5,degree_greedy,FEASIBLE,true,true,0.23360099760824848,0.7971940000000001,3,2,1.421398625000009,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.5,risk_greedy,FEASIBLE,true,true,0.2535451131625618,0.594144,2,2,0.8004220800000041,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.5,min_cut,FEASIBLE,true,true,0.9771731151122243,31.204581,34,12,4.000571961999995,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.5,constraint_generation,FEASIBLE,true,true,0.31206818290899974,263.939782,99,11,123.90443737800001,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.7,degree_greedy,FEASIBLE,true,true,0.459600146670726,31.826708,46,11,18.223458453000006,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.7,risk_greedy,FEASIBLE,true,true,0.49838107997496617,2.25043,5,4,0.35698050000002013,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.7,min_cut,FEASIBLE,true,true,0.9771731151122243,31.204581,34,12,3.939750567000033,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.7,constraint_generation,FEASIBLE,true,true,0.583021893889446,612.885904,207,12,123.860509514,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.8,degree_greedy,FEASIBLE,true,true,0.5403908142311115,39.998785,55,11,21.56532230600004,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.8,risk_greedy,FEASIBLE,true,true,0.618148822847851,3.462234,6,4,0.36074120000000676,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.8,min_cut,FEASIBLE,true,true,0.9771731151122243,31.204581,34,12,3.4334050159999947,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.8,constraint_generation,FEASIBLE,true,true,0.6460414197166829,375.516438,139,12,124.02893655700001,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.9,degree_greedy,FEASIBLE,true,true,0.6548149444851004,147.919209,175,12,71.01394163399993,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.9,risk_greedy,FEASIBLE,true,true,0.687665756119153,4.2122340000000005,7,5,0.4028952879999679,false
seib-2026:regulated_finance:small:3681131:injected_mixed,regulated_finance,3681131,0.9,min_cut,FEASIBLE,true,true,0.9771731151122243,31.204581,34,12,3.884225162000007,false
